source_path	mode	blob	disposition	destination
README.md	100644	7c269a7cd6e1aa40347a8d28b25dc126d0b50242	rewritten	README.md
beacon-project.toml	100644	9606c2d93eb0b8b22507de57f857f1ff8ff14cbe	upgraded	beacon-project.toml
data/.gitkeep	100644	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	replaced-by-readme	data/README.md
figures/.gitkeep	100644	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	replaced-by-canonical-figure	paper/figures/semantic-acoustic-response-loop.svg
paper.md	100644	60433b697a1559786b3ae3ec615dbd3f0af3a4e9	converted-to-latex	paper/sections/manuscript.tex
references.bib	100644	740cc38ac74c288aa787682bc46d837328f011c6	moved-and-extended	paper/references.bib
research/bootstrap/01-research-concept-snapshot.md	100644	0447d16e47c27dc295b520fb9ddacf4dccec3e42	preserve-unchanged	research/bootstrap/01-research-concept-snapshot.md
research/bootstrap/02-conceptual-system-model.md	100644	753310a8b437ae4d4aa46b24165937b6a9929676	preserve-unchanged	research/bootstrap/02-conceptual-system-model.md
research/bootstrap/03-scientific-boundaries.md	100644	4de17415f845f93e6d53ca4878c52328b179fa60	preserve-unchanged	research/bootstrap/03-scientific-boundaries.md
research/bootstrap/04-literature-scan-map.md	100644	0d2005a6a458b2c31ea55fca181f66d565d510b3	preserve-unchanged	research/bootstrap/04-literature-scan-map.md
research/bootstrap/05-paper-shape.md	100644	5128787161cc9b0fb55fda3f84a159c3616a2d78	preserve-unchanged	research/bootstrap/05-paper-shape.md
research/bootstrap/06-project-naming.md	100644	ec321c462ba0e4577849d73370c76f538017f3b2	preserve-unchanged	research/bootstrap/06-project-naming.md
research/bootstrap/07-beacon-and-renderflow-context.md	100644	df05f0427977c16bcb3f524de3c992126f12140d	preserve-unchanged	research/bootstrap/07-beacon-and-renderflow-context.md
research/bootstrap/08-resume-here.md	100644	b88d7a05d649e62f114d3ec82d7bd6444af75843	preserve-unchanged	research/bootstrap/08-resume-here.md
research/notes/.gitkeep	100644	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	replaced-by-readme	research/notes/README.md
research/sources/.gitkeep	100644	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	replaced-by-source-record	research/sources/mindmelody-2605.01235.md
templates/template.html	100644	2e496acbf7da5366e415b100234e12114869e2e5	superseded-by-beacon	-
templates/template.tex	100644	b9cbc2e2c80998ec239f5b7588c4234b95991675	superseded-by-beacon	-
